"species","ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
"dminuta",69,20,102.33,51.17,8224.64,8224.64,100,86447.27522,86447.27522,0.009768542
"dminuta",70,30,123.95,61.97,12065.72,8659.76,71.77159755,195106.1409,140030.7943,0.01582348
"dminuta",71,30,104.43,52.21,8564.6,8564.6,100,142591.4289,142591.4289,0.016112831
"dminuta",72,24,129.17,64.58,13104.11,5130.28,39.15015976,164465.2556,64388.41033,0.00727589
"dminuta",73,16,97.81,48.9,7513.51,7513.51,100,62242.32275,62242.32275,0.007033382
"dminuta",74,38,110.06,55.03,9513.25,9513.25,100,209490.9814,209490.9814,0.023672481
"dminuta",75,38,128.46,64.23,12961.43,6779.45,52.3047997,274982.6576,143829.1283,0.016252691
"dminuta",76,24,95.32,47.66,7135.38,4418.93,61.92984817,92870.84218,57514.77155,0.006499169
"dminuta",77,26,99.08,49.54,7709.49,4409.49,57.19561216,109434.5028,62591.7338,0.007072866
"dminuta",78,26,93.81,46.91,6912.14,6912.14,100,99074.70678,99074.70678,0.011195442
"dminuta",79,32,106.93,53.48,8984.69,8984.69,100,160922.1138,160922.1138,0.018184199
"dminuta",80,32,119.49,59.75,11214.27,11214.27,100,196608.1987,196608.1987,0.022216726
"dminuta",81,42,110.06,55.03,9514.18,5314.17,55.85526025,238579.8312,133259.3856,0.015058311
"dminuta",82,48,107.68,53.84,9106.36,9106.36,100,276466.105,276466.105,0.03124067
"dminuta",83,40,158.44,79.22,19715.69,8308.47,42.14141123,427830.993,180294.0181,0.020373224
"dminuta",84,25,124,62,12075.33,12075.33,100,159134.7579,159134.7579,0.017982228
"dminuta",85,28,99.72,49.86,7809.64,7809.64,100,120834.8931,120834.8931,0.013654343
"dminuta",86,36,113.41,56.7,10100.81,3096.6,30.65694731,206226.771,63222.83254,0.00714418
"dminuta",87,24,91.56,45.78,6583.87,6583.87,100,86248.34476,86248.34476,0.009746063
"dminuta",88,22,73.66,36.83,4261.89,3381.87,79.35141451,52450.78866,41620.44273,0.00470311
"dminuta",89,30,151.28,75.64,17973.4,17973.4,100,283752.2425,283752.2425,0.032064003
"dminuta",90,34,123.08,61.54,11897.21,11897.21,100,222841.2844,222841.2844,0.025181065
"dminuta",91,34,129.29,64.65,13128.79,6828.21,52.0094388,243800.9391,126799.5002,0.014328344
"dminuta",92,22,97.75,48.88,7504.97,7504.97,100,88141.98455,88141.98455,0.009960044
"dminuta",93,26,107.93,53.96,9148.61,5556.95,60.7409213,128117.8999,77819.99275,0.008793659
"dminuta",94,34,120.72,60.36,11446.34,11446.34,100,215159.1039,215159.1039,0.024312979
"dminuta",95,22,92.64,46.32,6741.12,6741.12,100,79719.90243,79719.90243,0.009008349
